epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,34833.8,1.21452,0.90511,1.15062,0.8506,0.76186,0.83912,0.59159,1.08372,0.80499,1.12552,0.003202,0.003202,0.003202
105,35160.1,1.20256,0.88939,1.1475,0.86067,0.75648,0.84107,0.59225,1.08267,0.80456,1.12469,0.003136,0.003136,0.003136
106,35486.6,1.1956,0.88978,1.13621,0.87119,0.75184,0.83977,0.59435,1.08064,0.80196,1.12349,0.00307,0.00307,0.00307
107,35812.1,1.19691,0.88244,1.14312,0.86015,0.76396,0.84374,0.59763,1.08099,0.79835,1.12371,0.003004,0.003004,0.003004
108,36138.2,1.19464,0.88174,1.1352,0.8585,0.77155,0.84427,0.59873,1.07467,0.79427,1.12075,0.002938,0.002938,0.002938
109,36465.4,1.19006,0.87789,1.14039,0.85349,0.77022,0.84499,0.59883,1.07206,0.78943,1.11845,0.002872,0.002872,0.002872
110,36794.6,1.19242,0.8801,1.14062,0.86133,0.76738,0.84634,0.59938,1.07436,0.78673,1.1181,0.002806,0.002806,0.002806
111,37121.2,1.1889,0.87491,1.13509,0.85722,0.7709,0.84668,0.59909,1.07614,0.78651,1.11883,0.00274,0.00274,0.00274
112,37445.2,1.18469,0.87868,1.13967,0.85555,0.77086,0.84675,0.60045,1.06932,0.78653,1.11765,0.002674,0.002674,0.002674
113,37767.1,1.18172,0.86677,1.13389,0.86785,0.76371,0.84609,0.60005,1.06865,0.79027,1.11667,0.002608,0.002608,0.002608
114,38090.9,1.17547,0.86145,1.13283,0.87304,0.76457,0.84761,0.6012,1.06344,0.78381,1.11635,0.002542,0.002542,0.002542
115,38416.1,1.17567,0.85104,1.13013,0.86665,0.76676,0.84804,0.60229,1.06458,0.78328,1.11483,0.002476,0.002476,0.002476
116,38741.2,1.17032,0.85624,1.12975,0.87616,0.76406,0.84818,0.6025,1.06431,0.78285,1.11453,0.00241,0.00241,0.00241
117,39067.4,1.16567,0.84706,1.12641,0.86689,0.77241,0.85002,0.60477,1.06147,0.77798,1.11335,0.002344,0.002344,0.002344
118,39395.1,1.17621,0.86117,1.13285,0.86865,0.77568,0.85153,0.60651,1.05816,0.77813,1.11201,0.002278,0.002278,0.002278
119,39722.7,1.17857,0.85804,1.12654,0.86431,0.77357,0.84962,0.60628,1.05956,0.77633,1.11168,0.002212,0.002212,0.002212
120,40051.2,1.16204,0.8456,1.12233,0.87079,0.76894,0.84915,0.6061,1.058,0.77464,1.11092,0.002146,0.002146,0.002146
121,40377.3,1.15804,0.84143,1.12012,0.87074,0.76828,0.84994,0.60622,1.05658,0.77221,1.10953,0.00208,0.00208,0.00208
122,40704.4,1.16323,0.85113,1.12203,0.86534,0.77461,0.84954,0.6079,1.05651,0.7691,1.10858,0.002014,0.002014,0.002014
123,41030.6,1.15433,0.8362,1.12045,0.87531,0.76901,0.85108,0.60919,1.05395,0.76666,1.10804,0.001948,0.001948,0.001948
124,41354.9,1.15524,0.83928,1.11794,0.86947,0.77668,0.8522,0.60983,1.05452,0.76601,1.10691,0.001882,0.001882,0.001882
125,41682.7,1.14299,0.83385,1.11625,0.87107,0.77646,0.85468,0.61143,1.0516,0.76151,1.10724,0.001816,0.001816,0.001816
126,42010.1,1.14568,0.8304,1.11644,0.87632,0.77136,0.85338,0.61144,1.04847,0.75775,1.10516,0.00175,0.00175,0.00175
127,42339.6,1.14469,0.83052,1.11211,0.88531,0.76535,0.85326,0.61191,1.04684,0.7576,1.10479,0.001684,0.001684,0.001684
128,42668.1,1.14876,0.8388,1.11736,0.88289,0.76589,0.85178,0.61043,1.04581,0.75696,1.10532,0.001618,0.001618,0.001618
129,42995,1.14387,0.83045,1.11871,0.88151,0.76834,0.85241,0.61119,1.04486,0.75587,1.10439,0.001552,0.001552,0.001552
130,43321.2,1.13749,0.82263,1.11355,0.87415,0.77208,0.85306,0.61105,1.04541,0.75327,1.10504,0.001486,0.001486,0.001486
131,43650.6,1.13696,0.82121,1.10729,0.86774,0.78225,0.85566,0.61178,1.04284,0.75253,1.10322,0.00142,0.00142,0.00142
132,43976.6,1.1417,0.82059,1.11191,0.86667,0.77976,0.85402,0.61272,1.04075,0.7536,1.10222,0.001354,0.001354,0.001354
133,44300.7,1.1289,0.81483,1.11081,0.86473,0.78025,0.85632,0.61303,1.04034,0.75271,1.10237,0.001288,0.001288,0.001288
134,44626,1.12831,0.8122,1.10879,0.86767,0.78253,0.85753,0.61272,1.04078,0.75164,1.10218,0.001222,0.001222,0.001222
135,44950,1.12828,0.81318,1.1052,0.85672,0.78738,0.85679,0.61393,1.04041,0.7519,1.10084,0.001156,0.001156,0.001156
136,45272.2,1.11356,0.81257,1.10934,0.8637,0.784,0.85711,0.61483,1.03987,0.75169,1.10005,0.00109,0.00109,0.00109
137,45598.5,1.12137,0.81275,1.10702,0.85774,0.78559,0.85549,0.61462,1.03846,0.75109,1.09889,0.001024,0.001024,0.001024
138,45923.4,1.12146,0.81041,1.10755,0.86311,0.77937,0.85628,0.61482,1.03717,0.74834,1.09844,0.000958,0.000958,0.000958
139,46248.9,1.11432,0.80003,1.10289,0.85983,0.78402,0.85734,0.6162,1.03654,0.74719,1.09811,0.000892,0.000892,0.000892
140,46573.4,1.12016,0.80483,1.10354,0.8629,0.78359,0.85757,0.61691,1.03563,0.7466,1.0974,0.000826,0.000826,0.000826
141,46897.6,1.11662,0.80348,1.10289,0.85648,0.78806,0.85748,0.61769,1.03361,0.74517,1.09626,0.00076,0.00076,0.00076
142,47222.1,1.11166,0.80089,1.10286,0.86313,0.78672,0.85808,0.61705,1.03342,0.74546,1.09636,0.000694,0.000694,0.000694
143,47548.8,1.11532,0.7931,1.10228,0.86231,0.78602,0.85817,0.6186,1.03205,0.74439,1.09553,0.000628,0.000628,0.000628
144,47876.5,1.10695,0.79467,1.09784,0.86441,0.7853,0.85839,0.61775,1.03105,0.74357,1.09498,0.000562,0.000562,0.000562
145,48201.8,1.11047,0.79358,1.09891,0.86315,0.78534,0.85774,0.61781,1.03124,0.74289,1.09497,0.000496,0.000496,0.000496
146,48526,1.10276,0.7834,1.09394,0.86426,0.78717,0.8574,0.61786,1.03048,0.74163,1.09441,0.00043,0.00043,0.00043
147,48850.7,1.10502,0.79885,1.09951,0.86905,0.78552,0.85681,0.61807,1.02988,0.74078,1.09384,0.000364,0.000364,0.000364
148,49179.2,1.09889,0.77858,1.0959,0.86375,0.78957,0.85757,0.61915,1.02901,0.73995,1.09354,0.000298,0.000298,0.000298
149,49505.9,1.11103,0.80019,1.10556,0.86417,0.79196,0.85828,0.61908,1.02884,0.74079,1.09349,0.000232,0.000232,0.000232
150,49834.9,1.11192,0.78985,1.09694,0.8622,0.79241,0.85882,0.61887,1.02896,0.74075,1.09326,0.000166,0.000166,0.000166
